

;SplatterBall SplatWest

[triggerdefs]
numtriggers= 7


; TELEPORTER EXAMPLE
[trigger01]
type=teleport
texture_off=0       ; Texture when Trigger is OFF
texture_on=0        ; Texture when Trigger is ON
reset_timer=0       ; Time in msec to reset from ON to OFF automatically
enabled=1           ; Trigger is Enabled
initial_state=0     ; Initial state -> 0=OFF 1=ON
next_trigger=0      ; Next trigger in chain
random=5           ; Random Teleporter -> Set to number of destinations
team=0             ; Team Teleporter -> Destinations correspond to teams
                    ; Locations of Teleport Destinations
x0=54
y0=32
x1=93
y1=63
x2=31
y2=74
x3=67
y3=99

on_sound=19

; SWINGING DOOR EXAMPLE
[trigger02]
type=door
texture_off=0       ; Texture when Trigger is OFF
texture_on=0        ; Texture when Trigger is ON
reset_timer=6000    ; Time in msec to reset from ON to OFF automatically
enabled=1           ; Trigger is Enabled
initial_state=0     ; Initial state -> 0=OFF 1=ON
next_trigger=0      ; Next trigger in chain
slide_axis=0        ; 0=swing, 1=x-slide, 2=y-slide, 3=h-slide
start_angle=270     ; Start angle of Door in Degrees
end_angle=0        ; End Angle of door in Degrees
max_angle_rate=90  ; Rate of door swing in Degrees/second
; on_sound=69
; off_sound=70

; SWINGING DOOR EXAMPLE
[trigger03]
type=door
texture_off=0       ; Texture when Trigger is OFF
texture_on=0        ; Texture when Trigger is ON
reset_timer=6000    ; Time in msec to reset from ON to OFF automatically
enabled=1           ; Trigger is Enabled
initial_state=0     ; Initial state -> 0=OFF 1=ON
next_trigger=0      ; Next trigger in chain
slide_axis=0        ; 0=swing, 1=x-slide, 2=y-slide, 3=h-slide
start_angle=270     ; Start angle of Door in Degrees
end_angle=180       ; End Angle of door in Degrees
max_angle_rate=-90  ; Rate of door swing in Degrees/second
; on_sound=69
; off_sound=70

; SWINGING DOOR EXAMPLE
[trigger04]
type=door
texture_off=0       ; Texture when Trigger is OFF
texture_on=0        ; Texture when Trigger is ON
reset_timer=6000    ; Time in msec to reset from ON to OFF automatically
enabled=1           ; Trigger is Enabled
initial_state=0     ; Initial state -> 0=OFF 1=ON
next_trigger=0      ; Next trigger in chain
slide_axis=0        ; 0=swing, 1=x-slide, 2=y-slide, 3=h-slide
start_angle=180     ; Start angle of Door in Degrees
end_angle=90        ; End Angle of door in Degrees
max_angle_rate=-90  ; Rate of door swing in Degrees/second
; on_sound=69
; off_sound=70

; SWINGING DOOR EXAMPLE
[trigger05]
type=door
texture_off=0       ; Texture when Trigger is OFF
texture_on=0        ; Texture when Trigger is ON
reset_timer=6000    ; Time in msec to reset from ON to OFF automatically
enabled=1           ; Trigger is Enabled
initial_state=0     ; Initial state -> 0=OFF 1=ON
next_trigger=0      ; Next trigger in chain
slide_axis=0        ; 0=swing, 1=x-slide, 2=y-slide, 3=h-slide
start_angle=180     ; Start angle of Door in Degrees
end_angle=270        ; End Angle of door in Degrees
max_angle_rate=90  ; Rate of door swing in Degrees/second
; on_sound=69
; off_sound=70

; SWINGING DOOR EXAMPLE
[trigger06]
type=door
texture_off=0       ; Texture when Trigger is OFF
texture_on=0        ; Texture when Trigger is ON
reset_timer=6000    ; Time in msec to reset from ON to OFF automatically
enabled=1           ; Trigger is Enabled
initial_state=0     ; Initial state -> 0=OFF 1=ON
next_trigger=0      ; Next trigger in chain
slide_axis=0        ; 0=swing, 1=x-slide, 2=y-slide, 3=h-slide
start_angle=90      ; Start angle of Door in Degrees
end_angle=0         ; End Angle of door in Degrees
max_angle_rate=-90  ; Rate of door swing in Degrees/second
; on_sound=69
; off_sound=70

; SWINGING DOOR EXAMPLE
[trigger07]
type=door
texture_off=0       ; Texture when Trigger is OFF
texture_on=0        ; Texture when Trigger is ON
reset_timer=6000    ; Time in msec to reset from ON to OFF automatically
enabled=1           ; Trigger is Enabled
initial_state=0     ; Initial state -> 0=OFF 1=ON
next_trigger=0      ; Next trigger in chain
slide_axis=0        ; 0=swing, 1=x-slide, 2=y-slide, 3=h-slide
start_angle=270     ; Start angle of Door in Degrees
end_angle=180       ; End Angle of door in Degrees
max_angle_rate=-90  ; Rate of door swing in Degrees/second
; on_sound=69
; off_sound=70

